"";"antygona";"duma_i_uprzedzenie";"dziewczyna_z_tatuazem";"gra_o_tron";"jane_eyre";"kod_da_vinci";"komunikacja_radiowa_w_locie";"miecz_prawdy";"milczenie_owiec";"procedury_bezpieczenstwa_w_locie";"procedury_boeing_737";"przygotowanie_do_startu_i_ladowania";"romeo";"sklep_z_porcelana";"trzy_siostry";"wesele";"wiedzmin";"wladca_pierscieni";"zakochani_w_rzymie";"zlodziejka_ksiazek"
"lotniczy";0;0;0;0;0;0;6;0;0;4;5;4;0;0;0;0;0;0;0;0
"lotnisko";0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0
"lotu";0;0;0;0;0;0;10;0;0;2;8;6;0;0;0;0;0;0;0;0
"ludzi";0;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;2;1
"ludzie";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"ludzki";2;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;2;0;0;1
"ludzkość";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"ludźmi";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"magia";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"mających";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"mały";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1
"manipulacja";0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"marzyć";0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;0;0;1;0
"matka";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
"mąż";0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"metafora";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
"mężczyzna";0;1;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"miara";0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"miasta";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"miasteczko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
"mieć";0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
"międzyczas";1;0;1;2;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;2
"międzyludzki";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"międzynarodowy";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mieszkać";0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"mieszkanie";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"mieszkaniec";0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0
"miłość";0;1;0;0;0;0;0;2;0;0;0;0;3;0;0;3;1;0;1;3
"miłosna";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"misja";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"mitologia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"młoda";1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"młody";0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0
"moc";0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;3;0;0
"moment";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;2;0;0
"monitorować";0;0;0;0;0;0;1;0;0;2;2;1;0;0;0;0;0;0;0;0
"monotonia";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"moralność";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"moralny";4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
"morderca";0;0;2;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0
"motywacja";0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"możliwość";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mroczny";0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1
"musieć";0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;2;0
"muzyka";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
